,time_stamp,hash,time
574,1.49204E+12,77794812.91,2017-04-13T00:00:00Z
575,1.49213E+12,78897926.7,2017-04-14T00:00:00Z
576,1.49221E+12,80228712.83,2017-04-15T00:00:00Z
577,1.4923E+12,79690803.9,2017-04-16T00:00:00Z
578,1.49239E+12,79742748.51,2017-04-17T00:00:00Z
579,1.49247E+12,79734763.14,2017-04-18T00:00:00Z
580,1.49256E+12,80245089.35,2017-04-19T00:00:00Z
581,1.49265E+12,61481683.94,2017-04-20T00:00:00Z
582,1.49273E+12,59058003.85,2017-04-21T00:00:00Z
583,1.49282E+12,59020011.79,2017-04-22T00:00:00Z
584,1.49291E+12,59453585.96,2017-04-23T00:00:00Z
585,1.49299E+12,57484957.42,2017-04-24T00:00:00Z
586,1.49308E+12,58737219.69,2017-04-25T00:00:00Z
587,1.49316E+12,58072908.58,2017-04-26T00:00:00Z
588,1.49325E+12,60487898.53,2017-04-27T00:00:00Z
589,1.49334E+12,66955140.6,2017-04-28T00:00:00Z
590,1.49342E+12,62544157.28,2017-04-29T00:00:00Z
591,1.49351E+12,65652690.94,2017-04-30T00:00:00Z
592,1.4936E+12,62170077.16,2017-05-01T00:00:00Z
593,1.49368E+12,61292826.97,2017-05-02T00:00:00Z
594,1.49377E+12,61876438.64,2017-05-03T00:00:00Z
595,1.49386E+12,64425748.4,2017-05-04T00:00:00Z
596,1.49394E+12,63585240.93,2017-05-05T00:00:00Z
597,1.49403E+12,62168731.69,2017-05-06T00:00:00Z
598,1.49412E+12,68197242.49,2017-05-07T00:00:00Z
599,1.4942E+12,66368583.11,2017-05-08T00:00:00Z
600,1.49429E+12,64172037.48,2017-05-09T00:00:00Z
601,1.49437E+12,65091710.62,2017-05-10T00:00:00Z
602,1.49446E+12,70221280.33,2017-05-11T00:00:00Z
603,1.49455E+12,69205448.42,2017-05-12T00:00:00Z
604,1.49463E+12,69990958.95,2017-05-13T00:00:00Z
605,1.49472E+12,66621944.61,2017-05-14T00:00:00Z
606,1.49481E+12,65972439.01,2017-05-15T00:00:00Z
607,1.49489E+12,65640578.28,2017-05-16T00:00:00Z
608,1.49498E+12,64200810.31,2017-05-17T00:00:00Z
609,1.49507E+12,65680808.43,2017-05-18T00:00:00Z
